in s,C1 in V
-2.9744849E+01,4.271750E-01
-2.9744391E+01,4.278268E-01
-2.9743934E+01,4.235626E-01
-2.9743476E+01,4.256404E-01
-2.9743018E+01,4.266046E-01
-2.9742560E+01,4.263466E-01
-2.9742102E+01,4.250972E-01
-2.9741645E+01,4.293478E-01
-2.9741187E+01,4.271478E-01
-2.9740729E+01,4.263873E-01
-2.9740271E+01,4.242280E-01
-2.9739814E+01,4.253009E-01
-2.9739356E+01,4.286281E-01
-2.9738898E+01,4.253280E-01
-2.9738440E+01,4.276503E-01
-2.9737983E+01,4.273108E-01
-2.9737525E+01,4.279898E-01
-2.9737067E+01,4.262787E-01
-2.9736609E+01,4.256540E-01
-2.9736152E+01,4.256404E-01
-2.9735694E+01,4.269577E-01
-2.9735236E+01,4.273651E-01
-2.9734778E+01,4.250564E-01
-2.9734320E+01,4.265231E-01
-2.9733863E+01,4.264959E-01
-2.9733405E+01,4.245811E-01
-2.9732947E+01,4.247441E-01
-2.9732489E+01,4.269848E-01
-2.9732032E+01,4.280305E-01
-2.9731574E+01,4.253009E-01
-2.9731116E+01,4.272972E-01
-2.9730658E+01,4.253416E-01
-2.9730201E+01,4.257083E-01
-2.9729743E+01,4.251243E-01
-2.9729285E+01,4.266453E-01
-2.9728827E+01,4.283293E-01
-2.9728369E+01,4.280848E-01
-2.9727912E+01,4.252058E-01
-2.9727454E+01,4.238342E-01
-2.9726996E+01,4.256540E-01
-2.9726538E+01,4.268626E-01
-2.9726081E+01,4.262922E-01
-2.9725623E+01,4.265774E-01
-2.9725165E+01,4.275959E-01
-2.9724707E+01,4.264280E-01
-2.9724250E+01,4.238342E-01
-2.9723792E+01,4.255589E-01
-2.9723334E+01,4.272021E-01
-2.9722876E+01,4.270799E-01
-2.9722418E+01,4.272564E-01
-2.9721961E+01,4.263058E-01
-2.9721503E+01,4.250972E-01
-2.9721045E+01,4.259799E-01
-2.9720587E+01,4.238342E-01
-2.9720130E+01,4.276231E-01
-2.9719672E+01,4.255182E-01
-2.9719214E+01,4.273515E-01
-2.9718756E+01,4.259527E-01
-2.9718299E+01,4.252194E-01
-2.9717841E+01,4.254638E-01
-2.9717383E+01,4.270392E-01
-2.9716925E+01,4.266725E-01
-2.9716467E+01,4.251922E-01
-2.9716010E+01,4.265231E-01
-2.9715552E+01,4.252194E-01
-2.9715094E+01,4.251107E-01
-2.9714636E+01,4.259663E-01
-2.9714179E+01,4.255453E-01
-2.9713721E+01,4.255182E-01
-2.9713263E+01,4.255589E-01
-2.9712805E+01,4.243774E-01
-2.9712348E+01,4.271750E-01
-2.9711890E+01,4.259120E-01
-2.9711432E+01,4.259527E-01
-2.9710974E+01,4.254774E-01
-2.9710517E+01,4.252737E-01
-2.9710059E+01,4.266317E-01
-2.9709601E+01,4.252330E-01
-2.9709143E+01,4.253688E-01
-2.9708685E+01,4.256947E-01
-2.9708228E+01,4.250428E-01
-2.9707770E+01,4.239564E-01
-2.9707312E+01,4.256404E-01
-2.9706854E+01,4.284243E-01
-2.9706397E+01,4.274194E-01
-2.9705939E+01,4.250157E-01
-2.9705481E+01,4.249749E-01
-2.9705023E+01,4.260071E-01
-2.9704566E+01,4.272293E-01
-2.9704108E+01,4.256268E-01
-2.9703650E+01,4.275145E-01
-2.9703192E+01,4.266182E-01
-2.9702734E+01,4.269441E-01
-2.9702277E+01,4.251107E-01
-2.9701819E+01,4.267675E-01
-2.9701361E+01,4.263601E-01
-2.9700903E+01,4.259256E-01
-2.9700446E+01,4.262922E-01
-2.9699988E+01,4.270799E-01
-2.9699530E+01,4.276503E-01
-2.9699072E+01,4.268083E-01
-2.9698615E+01,4.248935E-01
-2.9698157E+01,4.269713E-01
-2.9697699E+01,4.277046E-01
-2.9697241E+01,4.279219E-01
-2.9696783E+01,4.287774E-01
-2.9696326E+01,4.269441E-01
-2.9695868E+01,4.266996E-01
-2.9695410E+01,4.282614E-01
-2.9694952E+01,4.265095E-01
-2.9694495E+01,4.267675E-01
-2.9694037E+01,4.278676E-01
-2.9693579E+01,4.278947E-01
-2.9693121E+01,4.266317E-01
-2.9692664E+01,4.262787E-01
-2.9692206E+01,4.281527E-01
-2.9691748E+01,4.276095E-01
-2.9691290E+01,4.262108E-01
-2.9690832E+01,4.269577E-01
-2.9690375E+01,4.281256E-01
-2.9689917E+01,4.273379E-01
-2.9689459E+01,4.257083E-01
-2.9689001E+01,4.251922E-01
-2.9688544E+01,4.275824E-01
-2.9688086E+01,4.270799E-01
-2.9687628E+01,4.274330E-01
-2.9687170E+01,4.300268E-01
-2.9686713E+01,4.268762E-01
-2.9686255E+01,4.270799E-01
-2.9685797E+01,4.265231E-01
-2.9685339E+01,4.290626E-01
-2.9684881E+01,4.284922E-01
-2.9684424E+01,4.265095E-01
-2.9683966E+01,4.275416E-01
-2.9683508E+01,4.286960E-01
-2.9683050E+01,4.279762E-01
-2.9682593E+01,4.265503E-01
-2.9682135E+01,4.271206E-01
-2.9681677E+01,4.277861E-01
-2.9681219E+01,4.293614E-01
-2.9680762E+01,4.269577E-01
-2.9680304E+01,4.257762E-01
-2.9679846E+01,4.301626E-01
-2.9679388E+01,4.278947E-01
-2.9678931E+01,4.265910E-01
-2.9678473E+01,4.252737E-01
-2.9678015E+01,4.276231E-01
-2.9677557E+01,4.286688E-01
-2.9677099E+01,4.254638E-01
-2.9676642E+01,4.266589E-01
-2.9676184E+01,4.297281E-01
-2.9675726E+01,4.286552E-01
-2.9675268E+01,4.268898E-01
-2.9674811E+01,4.288453E-01
-2.9674353E+01,4.284787E-01
-2.9673895E+01,4.279219E-01
-2.9673437E+01,4.289676E-01
-2.9672980E+01,4.275280E-01
-2.9672522E+01,4.267540E-01
-2.9672064E+01,4.275280E-01
-2.9671606E+01,4.264552E-01
-2.9671148E+01,4.270663E-01
-2.9670691E+01,4.283293E-01
-2.9670233E+01,4.270799E-01
-2.9669775E+01,4.296058E-01
-2.9669317E+01,4.273787E-01
-2.9668860E+01,4.279219E-01
-2.9668402E+01,4.284651E-01
-2.9667944E+01,4.268219E-01
-2.9667486E+01,4.270799E-01
-2.9667029E+01,4.263873E-01
-2.9666571E+01,4.285058E-01
-2.9666113E+01,4.283293E-01
-2.9665655E+01,4.266725E-01
-2.9665197E+01,4.274330E-01
-2.9664740E+01,4.261429E-01
-2.9664282E+01,4.260342E-01
-2.9663824E+01,4.263330E-01
-2.9663366E+01,4.294429E-01
-2.9662909E+01,4.277453E-01
-2.9662451E+01,4.264280E-01
-2.9661993E+01,4.267811E-01
-2.9661535E+01,4.270935E-01
-2.9661078E+01,4.288318E-01
-2.9660620E+01,4.277318E-01
-2.9660162E+01,4.256268E-01
-2.9659704E+01,4.281392E-01
-2.9659246E+01,4.281392E-01
-2.9658789E+01,4.275824E-01
-2.9658331E+01,4.290219E-01
-2.9657873E+01,4.273515E-01
-2.9657415E+01,4.279626E-01
-2.9656958E+01,4.269984E-01
-2.9656500E+01,4.275009E-01
-2.9656042E+01,4.284243E-01
-2.9655584E+01,4.264688E-01
-2.9655127E+01,4.239564E-01
-2.9654669E+01,4.239700E-01
-2.9654211E+01,4.273787E-01
-2.9653753E+01,4.263058E-01
-2.9653296E+01,4.260342E-01
-2.9652838E+01,4.269169E-01
-2.9652380E+01,4.281799E-01
-2.9651922E+01,4.276503E-01
-2.9651464E+01,4.244996E-01
-2.9651007E+01,4.272564E-01
-2.9650549E+01,4.292256E-01
-2.9650091E+01,4.268219E-01
-2.9649633E+01,4.284108E-01
-2.9649176E+01,4.275416E-01
-2.9648718E+01,4.273787E-01
-2.9648260E+01,4.273515E-01
-2.9647802E+01,4.246762E-01
-2.9647345E+01,4.253416E-01
-2.9646887E+01,4.269848E-01
-2.9646429E+01,4.261429E-01
-2.9645971E+01,4.259527E-01
